"","home","away","homescore","awayscore","mtype"
"199","Russia","Kazakhstan",1,0,"Qualifying Group Stage"
"200","Russia","San Marino",9,0,"Qualifying Group Stage"
"201","Scotland","Belgium",0,4,"Qualifying Group Stage"
"202","Scotland","Russia",1,2,"Qualifying Group Stage"
"203","Scotland","Cyprus",2,1,"Qualifying Group Stage"
"204","Scotland","Kazakhstan",3,1,"Qualifying Group Stage"
"205","Scotland","San Marino",6,0,"Qualifying Group Stage"
"206","Cyprus","Belgium",0,2,"Qualifying Group Stage"
"207","Cyprus","Russia",0,5,"Qualifying Group Stage"
"208","Cyprus","Scotland",1,2,"Qualifying Group Stage"
"209","Cyprus","Kazakhstan",1,1,"Qualifying Group Stage"
"210","Cyprus","San Marino",5,0,"Qualifying Group Stage"
"211","Kazakhstan","Belgium",0,2,"Qualifying Group Stage"
"212","Kazakhstan","Russia",0,4,"Qualifying Group Stage"
"213","Kazakhstan","Scotland",3,0,"Qualifying Group Stage"
"214","Kazakhstan","Cyprus",1,2,"Qualifying Group Stage"
"215","Kazakhstan","San Marino",4,0,"Qualifying Group Stage"
"216","San Marino","Belgium",0,4,"Qualifying Group Stage"
"217","San Marino","Russia",0,5,"Qualifying Group Stage"
"218","San Marino","Scotland",0,2,"Qualifying Group Stage"
"219","San Marino","Cyprus",0,4,"Qualifying Group Stage"
"220","San Marino","Kazakhstan",1,3,"Qualifying Group Stage"
"221","Italy","Finland",2,0,"Qualifying Group Stage"
"222","Italy","Greece",2,0,"Qualifying Group Stage"
"223","Italy","Bosnia and Herzegovina",2,1,"Qualifying Group Stage"
"224","Italy","Armenia",9,1,"Qualifying Group Stage"
"225","Italy","Liechtenstein",6,0,"Qualifying Group Stage"
"226","Finland","Italy",1,2,"Qualifying Group Stage"
"227","Finland","Greece",1,0,"Qualifying Group Stage"
"228","Finland","Bosnia and Herzegovina",2,0,"Qualifying Group Stage"
"229","Finland","Armenia",3,0,"Qualifying Group Stage"
"230","Finland","Liechtenstein",3,0,"Qualifying Group Stage"
"231","Greece","Italy",0,3,"Qualifying Group Stage"
"232","Greece","Finland",2,1,"Qualifying Group Stage"
"233","Greece","Bosnia and Herzegovina",2,1,"Qualifying Group Stage"
"234","Greece","Armenia",2,3,"Qualifying Group Stage"
"235","Greece","Liechtenstein",1,1,"Qualifying Group Stage"
"236","Bosnia and Herzegovina","Italy",0,3,"Qualifying Group Stage"
"237","Bosnia and Herzegovina","Finland",4,1,"Qualifying Group Stage"
"238","Bosnia and Herzegovina","Greece",2,2,"Qualifying Group Stage"
"239","Bosnia and Herzegovina","Armenia",2,1,"Qualifying Group Stage"
"240","Bosnia and Herzegovina","Liechtenstein",5,0,"Qualifying Group Stage"
"241","Armenia","Italy",1,3,"Qualifying Group Stage"
"242","Armenia","Finland",0,2,"Qualifying Group Stage"
"243","Armenia","Greece",0,1,"Qualifying Group Stage"
"244","Armenia","Bosnia and Herzegovina",4,2,"Qualifying Group Stage"
"245","Armenia","Liechtenstein",3,0,"Qualifying Group Stage"
"246","Liechtenstein","Italy",0,5,"Qualifying Group Stage"
"247","Liechtenstein","Finland",0,2,"Qualifying Group Stage"
"248","Liechtenstein","Greece",0,2,"Qualifying Group Stage"
"249","Liechtenstein","Bosnia and Herzegovina",0,3,"Qualifying Group Stage"
"250","Liechtenstein","Armenia",1,1,"Qualifying Group Stage"
"251","Iceland","Romania",2,1,"Play-offs"
"252","Bulgaria","Hungary",1,3,"Play-offs"
"253","Hungary","Iceland",2,1,"Play-offs"
"254","Bosnia and Herzegovina","Northern Ireland",1,1,"Play-offs"
"255","Bosnia and Herzegovina","Northern Ireland",3,4,"Penalties"
"256","Slovakia","Ireland",0,0,"Play-offs"
"257","Slovakia","Ireland",4,2,"Penalties"
"258","Northern Ireland","Slovakia",1,2,"Play-offs"
"259","Scotland","Israel",0,0,"Play-offs"
"260","Scotland","Israel",5,3,"Penalties"
"261","Norway","Serbia",1,2,"Play-offs"
"262","Serbia","Scotland",1,1,"Play-offs"
"263","Serbia","Scotland",4,5,"Penalties"
"264","Georgia","Belarus",1,0,"Play-offs"
"265","North Macedonia","Kosovo",2,1,"Play-offs"
"266","Georgia","North Macedonia",0,1,"Play-offs"
